TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-BR-6564-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-7703-11A-01R-2055-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-BR-7717-11A-01R-2055-13	TCGA-BR-7851-11A-01R-2203-13	TCGA-BR-8060-11A-01R-2343-13	TCGA-CG-5720-11A-01R-1602-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-CG-5728-11A-01R-1602-13	TCGA-CG-5730-11A-01R-1602-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-CG-5734-11A-01R-1602-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-FP-7829-11A-01R-2055-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-HU-A4GC-11A-11R-A251-31	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-IN-7806-11A-01R-2055-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-IN-8663-11A-01R-2402-13	TCGA-IP-7968-11A-01R-2203-13
C3orf77|375337	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0.0088	0	0	0	0.0071	0	8e-04	0	0.0047	0	2e-04	0	0
C3orf79|152118	0	0	0	0	0	0.0141	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604	0.0843	0.0994	0.0799	0.3449
C3|718	56.5858	59.9443	43.4792	27.2131	79.6501	19.3487	13.8874	21.3424	153.8947	115.7518	36.9771	59.3981	90.0025	63.097	69.7098	31.9166	48.7405	74.6518	30.1945	37.6296	48.5854	104.7278	205.1731	9.8954	51.5278	65.1896	28.9635	78.1355	56.3755	7.0875	8.3802	2.2162	91.6726
C4A|720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA|722	0.1407	0.0523	0.1342	0.0382	0.5356	0	0.0299	0.0817	0.1817	0.3751	0.0529	0.1032	0.1359	0.0381	0.0352	0.1717	0.1887	0	0.0163	0.049	0.0946	0.2158	0.0298	0.0975	0.0262	0.0406	0.0904	0.0452	0.0247	0.0034	0.0053	0	0.0611
C4BPB|725	3.3513	1.7248	3.297	2.5061	1.183	2.263	2.5528	3.4367	0.5911	3.0785	1.1392	2.6241	5.0406	1.7058	3.3829	3.216	0.2587	2.6415	5.3577	1.7017	9.4839	0.0388	0.1287	3.2456	8e-04	0.0151	2.0664	0.1027	0.1115	0	0.0203	0	0.4541
C4orf10|317648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf11|439934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf12|404201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf14|84273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17|84103	0	0	0	0	0	0	0	0	0.0065	0	0.009	0.0159	0.0052	0	0.0332	0	0	0.0234	0.0399	0	0	0.0048	0.006	0.0097	0.0093	0.011	0	0.0042	0	0	0.0065	0.0174	0.0062
C4orf19|55286	13.0571	16.9545	11.3522	19.0363	9.9525	14.6993	16.9222	13.5985	5.8055	9.3142	20.0416	7.6575	14.3727	4.8543	13.2292	17.8758	19.6797	9.6399	10.3268	14.4069	14.0598	0.1307	0.1078	16.0605	0.1592	0.0521	3.0033	0.2076	0.2001	0.8151	0.1837	0.3468	4.695
C4orf21|55345	0.2665	0.1911	0.0733	0.2563	0.2384	0.1904	0.268	0.2562	0.3343	0.4941	0.281	0.494	0.4436	0.1977	0.285	0.1437	0.263	0.2249	0.1911	0.1576	0.0893	0.1976	0.247	0.1082	0.5904	0.3236	0.2377	0.3821	0.3796	0.2711	0.3665	0.3907	0.2738
C4orf22|255119	0.0477	0	0.0336	0	0	0	0	0	0.0241	0	0	0.0204	0	0	0	0	0	0	0	0	0	0.1651	0.2228	0.0186	0.0812	0	0.0535	0.0326	0	0	0.0153	0.0503	0
C4orf23|152992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf26|152816	0.0109	0.0115	0.1851	0.0982	0.0265	0.0596	0.2973	0.0545	0.0403	0.0769	0.0519	0.131	0.0121	0	0.0074	0.0534	0.0616	0.1035	0.0177	0.0732	0	0.0113	0.0108	0.0086	0.0487	0.0392	0.0414	0.0406	0.0136	0	0.0201	0	0.0277
C4orf27|54969	6.7649	5.4473	3.5346	6.7205	5.699	15.0203	7.2504	6.2839	8.8661	10.6179	8.9736	12.8187	5.9399	8.613	3.7395	6.6006	5.23	4.4614	2.8314	4.4604	3.4219	14.4089	13.8148	5.3114	17.1786	20.655	17.2353	17.4454	17.5773	5.6675	9.0481	8.7609	7.4967
C4orf29|80167	3.4437	2.4242	3.0691	2.9164	3.0967	3.4009	3.3919	3.1081	3.0902	2.6464	3.3619	3.3383	6.3278	2.8172	2.8794	2.1146	2.0466	1.893	4.3721	1.5967	3.0003	2.2136	1.9555	6.0802	2.994	2.8174	2.8231	3.7711	3.5621	1.6602	2.4132	2.2328	1.8804
C4orf31|79625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf32|132720	3.0574	5.8193	2.957	9.1565	2.7753	10.4401	5.293	6.808	4.657	3.5865	8.9522	5.2595	2.0338	5.8387	3.1939	4.867	5.7363	4.4596	1.051	5.0656	3.2942	2.575	3.9248	1.3076	4.4974	3.8952	4.3114	5.4246	5.5016	1.84	3.3293	2.7727	3.9746
C4orf33|132321	6.3366	5.749	3.875	9.8443	4.2709	30.0887	12.0045	6.9137	4.6149	6.7738	8.1815	6.3206	10.8448	4.3553	6.6568	3.7219	2.9754	5.2578	5.142	4.7764	5.5863	3.0436	1.7621	11.5905	2.4613	5.4022	5.4554	3.1941	1.9527	2.6476	5.0282	5.059	4.6487
C4orf34|201895	19.8551	29.7315	19.6528	48.1297	16.5623	57.1369	26.0623	29.1892	22.7821	26.6221	48.8128	32.2067	14.6975	25.7542	19.133	23.1291	43.3107	23.0732	11.7119	24.2262	14.891	12.3412	19.6904	18.7602	17.0147	12.6985	18.9888	18.9605	17.0284	16.8944	22.7112	22.3846	23.0578
C4orf35|85438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf36|132989	0.5645	0.3014	0.3341	0.6234	0.159	1.9057	0.8806	0.3637	0.3318	0.2771	0.7041	0.2569	0.3205	0.3606	0.1172	0.1551	0.3228	0.0273	0.5201	0.3563	0.217	0.3434	0.7388	0.3283	0.1798	0.3397	0.389	0.5566	0.2591	1.067	1.6734	1.1057	1.5659
C4orf37|285555	0.0136	0.0286	0.0192	0.0696	0.036	0	0.0265	0.0415	0.0696	0.0343	0.0249	0.0935	0.0405	0.0977	0.0185	0	0	0.0258	0	0.0611	0.0071	0.0106	0.0268	0.0213	0.0055	0	0	0	0.0466	0.0354	0.1186	0.1151	0.0276
C4orf38|152641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf39|152756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf3|401152	28.1517	20.5805	23.9775	18.2176	35.6076	37.0155	13.6963	14.7022	39.3288	28.6821	22.6013	36.1109	30.0079	26.0951	20.5052	19.8056	18.5096	13.7298	34.1708	17.5824	29.81	65.7026	62.4753	31.8321	48.905	65.6815	57.9386	55.0926	54.9814	94.0042	85.9041	166.549	57.6953
C4orf40|401137	0.0325	0	0	0	0	0	0	0	0.0024	0	0	0	0.0126	0	0	0	0	0	0.03	0	0	0.0072	0	0	0	0.0083	0	0.0063	0.0086	0	0.0049	0	0.0141
C4orf41|60684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf42|92070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf43|55319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf44|345222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf45|152940	0	0.0484	0.0331	0	0	0	0	0.0175	5e-04	0	0.0339	0	0.0323	0.001	0.0319	0	0	0	0	0	0	0	0	0	0	0.0275	0.0177	0.016	0.0948	0	0.0124	0	0
C4orf46|201725	1.6573	1.2724	1.1098	1.9742	1.4118	3.5284	2.3162	1.9761	1.6201	1.8032	2.5255	2.8163	1.9722	1.1798	1.5663	2.1788	1.6623	1.517	1.1244	1.2524	0.9611	1.2472	1.6869	1.0153	2.7478	2.4863	1.9303	2.4964	2.4148	1.1326	1.4238	1.5143	1.3453
C4orf47|441054	0.1383	0.0118	0.0361	0.0891	0.1408	0	0.0698	0.044	0.2651	0.2462	0.0718	0.1906	0.0492	0.1946	0.0628	0.0624	0.0435	0.0439	0	0.0822	0.2164	0.3475	0.4551	0.0323	0.2909	0.4704	0.6741	0.5111	0.199	0.1682	0.1027	0.2672	0.1107
C4orf48|401115	10.2933	5.4686	5.1041	4.9447	7.093	19.439	8.5757	8.6967	2.5027	20.6945	3.9809	10.788	13.787	7.2044	7.4717	15.6299	3.0522	14.8865	24.9921	8.111	20.9982	1.0975	1.7551	3.0179	1.4102	4.1636	3.862	3.2636	2.3726	0.6331	2.3442	1.983	6.4166
C4orf49|84709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf50|389197	0.0217	0.0477	0.0061	0.0167	0.0539	0	0.0261	0.0168	0.0251	0.0307	0.0095	0.0074	0.0098	0.0335	0.0059	0.0106	0.0244	0.0082	0	0.0116	0	0.0171	0.0022	0	0.0226	0.0613	0.0231	0.0401	0.0294	0	0.0046	0	0.0132
C4orf51|646603	0.0679	0	0	0.0755	0	0	0.0216	0.0287	0	0.0048	0.0346	0.0311	0.0099	0	0.0514	0.0374	0	0	0	0.0139	0	0	0	0.0014	0	0.0134	0.015	0	0.0107	0	0	0	0
C4orf52|389203	18.4564	12.3553	14.6322	11.962	12.355	53.1516	21.9065	13.0492	12.5529	26.9595	14.3429	24.8289	18.1093	18.1102	20.7755	24.5161	9.4623	14.967	20.9095	17.1922	21.767	14.8186	12.1803	35.6203	15.1718	24.4632	22.9893	18.2714	17.0958	4.6771	5.253	7.1001	7.354
C4orf6|10141	0	0	0	0	0.051	0	0	0	0.0272	0	0.0189	0	0.011	0.0257	0	0	0	0	0	0.0231	0.0258	0.01	0.0627	0	0.0032	0.0344	0.0783	0.0177	0.0039	0.5517	0.2192	0.4231	0.6666
C4orf7|260436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR1|728	14.4027	10.0913	3.6697	4.9034	6.2662	2.1044	5.1743	3.5852	18.3517	13.4063	5.668	14.1008	2.141	12.4539	4.7445	1.6215	5.6037	4.9571	2.7483	2.0454	10.8442	3.0186	4.7529	0.6877	3.7111	5.7663	11.0096	9.1217	8.5404	0.2001	0.5065	0.3048	7.8766
C5orf13|9315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf15|56951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf20|140947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf22|55322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf23|79614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf24|134553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf25|375484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf27|202299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf28|64417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf30|90355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf32|84418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf33|133686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf34|375444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf35|133383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf36|285600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf38|153571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf39|389289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf40|408263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf41|153222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf42|65250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf43|643155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf44|80006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf45|51149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf46|389336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf47|133491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf48|389320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49|134121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf4|10826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf51|285636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf52|100190949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf53|492311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf54|63920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf55|116349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf56|441108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf58|133874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf60|285679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf62|85027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5|727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf103|79747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf105|84830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf106|64771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf108|10591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf10|10665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf114|85411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf115|58527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf118|168090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf120|387263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf122|401288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf123|26238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf124|653483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf125|84300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf126|389383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf127|340204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf129|154467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf130|221443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf132|647024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf134|79969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf136|221545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf138|442213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf141|135398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf142|90523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf145|221749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf146|222826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf147|387097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf150|115004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf153|88745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf154|221424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf155|79940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf15|29113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf162|57150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf163|206412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf164|63914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf165|154313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf167|253714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf168|84553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf170|221322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf174|387104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf176|90632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf182|285753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf186|728464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf191|253582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf192|116843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf195|154386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf1|221491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf201|404220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf203|51250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf204|387119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf208|80069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf211|79624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf217|100131814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf218|221718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf221|154288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf222|389384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf223|221416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf225|619208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf226|441150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf227|401253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf25|80739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf26|401251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf27|80737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf35|729515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf41|100133205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf47|57827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf48|50854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
